Data,Valor,Descrição,Categoria
24/06/2023,1300.4,Salário,Salário
03/06/2023,-121.06,Coimbra Café,Café
10/06/2023,-133.24,Compras Diárias,Compras
22/06/2023,-135.07,Lisboa Bistro,Restaurante
13/06/2023,-83.97,Livraria Cultural,Compras
06/06/2023,-112.19,Eletrônicos Modernos,Compras
14/06/2023,-112.98,Cinema do Bairro,Lazer
24/06/2023,-26.79,Livraria Cultural,Compras
13/06/2023,-35.92,Livraria Cultural,Compras
17/06/2023,-63.99,Lisboa Bistro,Restaurante
25/06/2023,-43.67,Livraria Cultural,Compras
06/06/2023,-36.41,Coimbra Café,Café
08/06/2023,-100.6,Coimbra Café,Café
27/06/2023,-65.35,Arte e Cultura,Lazer
08/06/2023,-48.15,Eletrônicos Modernos,Compras
03/06/2023,-101.51,Arte e Cultura,Lazer
26/06/2023,-145.06,Parque Aventura,Lazer
28/06/2023,-64.52,Compras Diárias,Compras
04/06/2023,-128.26,Coimbra Café,Café
13/06/2023,-42.81,Cinema do Bairro,Lazer
23/06/2023,-54.15,Lisboa Bistro,Restaurante
22/06/2023,-56.96,Loja de Roupas,Compras
20/06/2023,-44.13,Mercado Central,Supermercado
01/06/2023,-83.88,Mercado Central,Supermercado
21/06/2023,-50.09,Coimbra Café,Café
15/06/2023,-116.93,Compras Diárias,Compras
15/06/2023,-116.1,Parque Aventura,Lazer
16/06/2023,-67.9,Eletrônicos Modernos,Compras
13/06/2023,-18.44,Mercado Central,Supermercado
08/06/2023,-36.13,Eletrônicos Modernos,Compras
06/06/2023,-105.07,Arte e Cultura,Lazer
05/06/2023,-10.0,Lisboa Bistro,Restaurante
