Data,Valor,Descrição,Categoria
30/08/2023,2158.2,Salário,Salário
29/08/2023,2616.15,Salário,Salário
19/08/2023,-44.36,Livraria Cultural,Compras
04/08/2023,-18.78,Loja de Roupas,Compras
20/08/2023,-38.2,Mercado Central,Supermercado
14/08/2023,-35.4,Coimbra Café,Café
04/08/2023,-145.67,Loja de Roupas,Compras
26/08/2023,-12.19,Porto Gourmet,Restaurante
16/08/2023,-105.52,Livraria Cultural,Compras
06/08/2023,-106.69,Mercado Central,Supermercado
24/08/2023,-36.4,Porto Gourmet,Restaurante
09/08/2023,-80.5,Lisboa Bistro,Restaurante
19/08/2023,-133.98,Livraria Cultural,Compras
11/08/2023,-55.65,Parque Aventura,Lazer
12/08/2023,-57.25,Alimentos Frescos,Supermercado
24/08/2023,-12.07,Livraria Cultural,Compras
22/08/2023,-110.59,Eletrônicos Modernos,Compras
03/08/2023,-19.07,Parque Aventura,Lazer
04/08/2023,-73.29,Porto Gourmet,Restaurante
17/08/2023,-39.41,Lisboa Bistro,Restaurante
07/08/2023,-40.52,Mercado Central,Supermercado
23/08/2023,-134.39,Loja de Roupas,Compras
26/08/2023,-25.23,Loja de Roupas,Compras
22/08/2023,-102.64,Coimbra Café,Café
11/08/2023,-89.27,Coimbra Café,Café
05/08/2023,-20.44,Lisboa Bistro,Restaurante
16/08/2023,-109.95,Cinema do Bairro,Lazer
27/08/2023,-142.28,Cinema do Bairro,Lazer
06/08/2023,-130.36,Compras Diárias,Compras
26/08/2023,-62.13,Porto Gourmet,Restaurante
05/08/2023,-75.4,Eletrônicos Modernos,Compras
26/08/2023,-6.35,Livraria Cultural,Compras
26/08/2023,-112.97,Arte e Cultura,Lazer
26/08/2023,-149.64,Compras Diárias,Compras
23/08/2023,-128.81,Compras Diárias,Compras
31/08/2023,-34.78,Alimentos Frescos,Supermercado
29/08/2023,-37.35,Arte e Cultura,Lazer
