Data,Valor,Descrição,Categoria
28/04/2023,2039.3,Salário,Salário
22/04/2023,2376.01,Salário,Salário
11/04/2023,-65.36,Compras Diárias,Compras
21/04/2023,-66.39,Loja de Roupas,Compras
15/04/2023,-92.27,Compras Diárias,Compras
19/04/2023,-97.6,Eletrônicos Modernos,Compras
19/04/2023,-97.91,Parque Aventura,Lazer
17/04/2023,-7.83,Cinema do Bairro,Lazer
17/04/2023,-30.49,Mercado Central,Supermercado
13/04/2023,-113.61,Arte e Cultura,Lazer
20/04/2023,-25.85,Mercado Central,Supermercado
01/04/2023,-45.02,Loja de Roupas,Compras
07/04/2023,-118.57,Livraria Cultural,Compras
04/04/2023,-65.12,Porto Gourmet,Restaurante
13/04/2023,-54.75,Lisboa Bistro,Restaurante
28/04/2023,-80.12,Eletrônicos Modernos,Compras
17/04/2023,-92.4,Coimbra Café,Café
16/04/2023,-103.97,Eletrônicos Modernos,Compras
05/04/2023,-25.29,Eletrônicos Modernos,Compras
13/04/2023,-41.33,Compras Diárias,Compras
03/04/2023,-21.5,Mercado Central,Supermercado
01/04/2023,-111.7,Lisboa Bistro,Restaurante
14/04/2023,-85.86,Eletrônicos Modernos,Compras
07/04/2023,-114.46,Cinema do Bairro,Lazer
02/04/2023,-41.28,Compras Diárias,Compras
01/04/2023,-8.23,Cinema do Bairro,Lazer
04/04/2023,-86.85,Cinema do Bairro,Lazer
08/04/2023,-26.46,Eletrônicos Modernos,Compras
25/04/2023,-81.91,Cinema do Bairro,Lazer
30/04/2023,-95.97,Arte e Cultura,Lazer
21/04/2023,-72.89,Livraria Cultural,Compras
08/04/2023,-17.85,Lisboa Bistro,Restaurante
17/04/2023,-114.14,Porto Gourmet,Restaurante
04/04/2023,-105.49,Livraria Cultural,Compras
11/04/2023,-86.33,Loja de Roupas,Compras
26/04/2023,-74.67,Compras Diárias,Compras
08/04/2023,-20.28,Lisboa Bistro,Restaurante
16/04/2023,-50.57,Mercado Central,Supermercado
01/04/2023,-40.85,Mercado Central,Supermercado
