Data,Valor,Descrição,Categoria
26/03/2023,2224.71,Salário,Salário
17/03/2023,-81.97,Compras Diárias,Compras
21/03/2023,-104.73,Compras Diárias,Compras
12/03/2023,-81.0,Alimentos Frescos,Supermercado
25/03/2023,-67.69,Mercado Central,Supermercado
11/03/2023,-122.7,Eletrônicos Modernos,Compras
03/03/2023,-73.47,Livraria Cultural,Compras
15/03/2023,-5.19,Coimbra Café,Café
05/03/2023,-122.76,Loja de Roupas,Compras
31/03/2023,-54.02,Lisboa Bistro,Restaurante
27/03/2023,-136.73,Mercado Central,Supermercado
29/03/2023,-123.79,Loja de Roupas,Compras
28/03/2023,-9.03,Eletrônicos Modernos,Compras
11/03/2023,-110.15,Coimbra Café,Café
13/03/2023,-135.94,Loja de Roupas,Compras
13/03/2023,-45.57,Coimbra Café,Café
06/03/2023,-80.39,Porto Gourmet,Restaurante
18/03/2023,-82.42,Cinema do Bairro,Lazer
28/03/2023,-38.68,Cinema do Bairro,Lazer
28/03/2023,-10.55,Mercado Central,Supermercado
17/03/2023,-88.99,Arte e Cultura,Lazer
03/03/2023,-16.89,Eletrônicos Modernos,Compras
23/03/2023,-98.93,Lisboa Bistro,Restaurante
20/03/2023,-148.44,Compras Diárias,Compras
29/03/2023,-123.0,Eletrônicos Modernos,Compras
03/03/2023,-29.8,Parque Aventura,Lazer
07/03/2023,-136.28,Loja de Roupas,Compras
24/03/2023,-124.23,Cinema do Bairro,Lazer
28/03/2023,-89.57,Loja de Roupas,Compras
29/03/2023,-78.42,Livraria Cultural,Compras
06/03/2023,-17.25,Alimentos Frescos,Supermercado
15/03/2023,-34.56,Porto Gourmet,Restaurante
13/03/2023,-38.21,Eletrônicos Modernos,Compras
30/03/2023,-106.75,Coimbra Café,Café
21/03/2023,-75.08,Alimentos Frescos,Supermercado
17/03/2023,-124.93,Coimbra Café,Café
