Data,Valor,Descrição,Categoria
25/10/2023,2128.18,Salário,Salário
05/10/2023,-121.65,Coimbra Café,Café
11/10/2023,-102.38,Alimentos Frescos,Supermercado
02/10/2023,-98.18,Cinema do Bairro,Lazer
16/10/2023,-24.03,Alimentos Frescos,Supermercado
28/10/2023,-136.59,Coimbra Café,Café
16/10/2023,-103.08,Livraria Cultural,Compras
26/10/2023,-128.21,Coimbra Café,Café
12/10/2023,-52.42,Livraria Cultural,Compras
03/10/2023,-5.65,Porto Gourmet,Restaurante
07/10/2023,-120.29,Loja de Roupas,Compras
24/10/2023,-98.58,Loja de Roupas,Compras
12/10/2023,-50.24,Cinema do Bairro,Lazer
19/10/2023,-97.8,Loja de Roupas,Compras
25/10/2023,-130.89,Lisboa Bistro,Restaurante
19/10/2023,-34.38,Lisboa Bistro,Restaurante
27/10/2023,-131.62,Livraria Cultural,Compras
02/10/2023,-14.91,Mercado Central,Supermercado
17/10/2023,-30.67,Livraria Cultural,Compras
14/10/2023,-70.64,Lisboa Bistro,Restaurante
15/10/2023,-37.06,Parque Aventura,Lazer
04/10/2023,-148.17,Cinema do Bairro,Lazer
23/10/2023,-141.42,Arte e Cultura,Lazer
03/10/2023,-42.65,Arte e Cultura,Lazer
31/10/2023,-129.06,Lisboa Bistro,Restaurante
07/10/2023,-10.67,Compras Diárias,Compras
01/10/2023,-115.72,Coimbra Café,Café
11/10/2023,-49.85,Compras Diárias,Compras
19/10/2023,-93.92,Eletrônicos Modernos,Compras
06/10/2023,-78.3,Loja de Roupas,Compras
07/10/2023,-42.44,Eletrônicos Modernos,Compras
18/10/2023,-49.55,Lisboa Bistro,Restaurante
21/10/2023,-139.05,Compras Diárias,Compras
25/10/2023,-37.51,Alimentos Frescos,Supermercado
31/10/2023,-57.18,Coimbra Café,Café
