Data,Valor,Descrição,Categoria
28/07/2023,2576.98,Salário,Salário
28/07/2023,1632.1,Salário,Salário
19/07/2023,-90.93,Alimentos Frescos,Supermercado
29/07/2023,-107.13,Cinema do Bairro,Lazer
31/07/2023,-12.24,Cinema do Bairro,Lazer
12/07/2023,-132.26,Coimbra Café,Café
06/07/2023,-146.7,Parque Aventura,Lazer
29/07/2023,-98.48,Lisboa Bistro,Restaurante
10/07/2023,-125.39,Lisboa Bistro,Restaurante
12/07/2023,-123.05,Cinema do Bairro,Lazer
29/07/2023,-20.95,Loja de Roupas,Compras
19/07/2023,-118.29,Eletrônicos Modernos,Compras
04/07/2023,-105.17,Coimbra Café,Café
24/07/2023,-132.79,Eletrônicos Modernos,Compras
08/07/2023,-66.55,Loja de Roupas,Compras
15/07/2023,-128.36,Mercado Central,Supermercado
20/07/2023,-109.03,Mercado Central,Supermercado
07/07/2023,-51.98,Coimbra Café,Café
04/07/2023,-135.36,Coimbra Café,Café
27/07/2023,-28.31,Parque Aventura,Lazer
13/07/2023,-110.59,Compras Diárias,Compras
05/07/2023,-71.59,Eletrônicos Modernos,Compras
17/07/2023,-16.59,Porto Gourmet,Restaurante
13/07/2023,-84.64,Parque Aventura,Lazer
11/07/2023,-28.9,Lisboa Bistro,Restaurante
21/07/2023,-130.34,Mercado Central,Supermercado
25/07/2023,-115.09,Alimentos Frescos,Supermercado
03/07/2023,-112.87,Livraria Cultural,Compras
10/07/2023,-83.87,Parque Aventura,Lazer
10/07/2023,-101.9,Eletrônicos Modernos,Compras
08/07/2023,-67.82,Coimbra Café,Café
27/07/2023,-144.04,Arte e Cultura,Lazer
18/07/2023,-117.21,Arte e Cultura,Lazer
28/07/2023,-138.57,Eletrônicos Modernos,Compras
03/07/2023,-146.78,Coimbra Café,Café
01/07/2023,-21.0,Loja de Roupas,Compras
26/07/2023,-112.67,Eletrônicos Modernos,Compras
13/07/2023,-31.61,Coimbra Café,Café
03/07/2023,-32.14,Eletrônicos Modernos,Compras
24/07/2023,-120.79,Arte e Cultura,Lazer
31/07/2023,-27.07,Mercado Central,Supermercado
